Introduction	序章
There seems to be an abundant supply of blue and purple Meeps.  If only they'd stay still for a moment, you'd be able to count them.  	看起來有大量的藍咪普和紫咪普。要是它們肯靜一下，你就能數清楚了。
The Meeps have brightly-colored, soft-looking fur. 	咪普長著色彩繽紛、軟呼呼的毛皮。
Apples	蘋果
Baby	寶寶
"Hey, just ask me about anything you want to know." 	「嘿，有什麼你想知道的儘管問我。」
Fur	毛皮
Holes	洞穴
Meeps	咪普
Rocks	石頭
Scroll	捲軸
You hear squeaky muttering from beneath the ground.  It seems the Meeps are having quite a discussion about you.	你聽見地底傳來吱吱嘎嘎的碎碎念。看來咪普們正在熱烈討論你呢。
You don't need to do that.	你不需要那樣做。
You walk away from the hole to get out of the rock's way.	你走開了，讓開那塊石頭。
You pick up the green fur. 	你撿起綠毛皮。
The magical runes fade from the paper before your eyes can focus on them.	魔法符文在你的眼睛聚焦之前就從紙上褪去了。
You pick up the Spell Scroll.  As the magical runes fade, you find you now know how to cast the "Detect Magic" spell.	你撿起魔法捲軸。當符文褪去時，你發現自己現在知道怎麼施展「偵測魔法」法術了。
"Hiya, hiya. Nice to seeya 'gain."	「嘿啊，嘿啊。很高興又見到你。」
"Hiya, hiya.  Pleased to meetcha." 	「嘿啊，嘿啊。很高興認識你。」
Hearing a rumble from the Meep hole, you quickly slip out of the way.	聽見咪普洞裡傳來隆隆聲，你迅速閃到一邊。
You detect no other magic here.	你在這裡沒有偵測到其他魔法。
All of the Meeps are hiding deep within their holes.  Your vicious attack has them terrified.	所有咪普都躲在洞裡深處。你的凶悍攻擊嚇得它們要死。
You see blue Meeps, purple Meeps, and occasionally a green Meep.  They seem to be very shy; whenever you approach one, it hides under its rock.	你看見藍咪普、紫咪普，偶爾還有綠咪普。它們看起來超害羞；你一靠近，它就躲到石頭底下。
You are in the Meeps' Peep.  The colorful, furry Meeps timidly pop out of their holes from time to time.	你在咪普的窩裡。色彩繽紛、毛茸茸的咪普們不時膽小地冒出洞口。
The Open spell only works on locks and small closed things.	「開啟術」只對鎖和小型密閉物品有效。
You can't talk to any of the Meeps. They are all hiding deep within their holes, terrified after your vicious attack.	你沒辦法跟任何咪普說話。它們都躲在洞裡深處，被你的凶悍攻擊嚇得要死。
The mountains are very steep here.	這邊的山峰陡得要命。
Large, heavy-looking rocks cover the many holes.  The Meeps must be stronger than they look to lift these rocks so easily.	大塊沉重的石頭蓋著許多洞。咪普們要夠強悍才能這麼輕鬆搬起這些石頭。
No way!  Those Meeps are too fast and the rocks too hard for you to want to try that again!	沒門！那些咪普太快、石頭太硬了，你不會想再試一次！
It looks like a Spell Scroll.	看起來像一卷魔法捲軸。
The trees and bushes look much like those you've seen elsewhere in the valley. 	樹木和灌木看起來跟你在山谷其他地方見過的很像。
"I just flew in from the coast and BOY! are my arms tired." 	「我剛從海邊飛過來，哇，我的手臂累死了。」
"Let us spin, then, you and I, when the evening is buried beneath the sky." It must be Tease Eliot, the ghost poet! 	「那麼讓我們旋轉吧，你和我，當傍晚埋沒在天空底下時。」准是逗趣·埃利奧特，那個幽靈詩人！
The lady is lovely as she lofts along, but beware her fatal touch!	那位女士飄然而過時美麗動人，但當心她致命的觸碰！
The large stone you are facing has been engraved with this message:	你面前的這塊大石頭上刻著這樣的訊息：
"Here lies Lester Moore Gored six times by a wild boar." 	「此墓：萊斯特·摩爾，被野豬戳傷六次。」
"No Les, no Moore." 	「沒有萊斯，沒有摩爾。」
The grate is clearly rusted shut.  You won't be able to open it.	那鐵柵欄明顯生鏽卡死了。你沒辦法打開。
A massive grate covers a hole, keeping you from seeing the bottom. 	一扇巨大的鐵柵欄蓋著一個洞，擋住你的視線不讓你看底下。
The large tombstone seems to have a barely legible epitaph:	那塊大墓碑上的墓誌銘看起來幾乎無法辨認：
"Here lies an atheist..." 	「這裡躺著一個無神論者…」
"All dressed up and nowhere to go." 	「衣著華麗卻無處可去。」
Growing up out of the grave is an evil-looking plant with a slimy, poisonous sheen.	從墳墓中長出一株邪惡的植物，散發著黏稠、有毒的光澤。
The carving on most of the gravestones seems to have been either intentionally defaced or worn with time. 	大多數墓碑上的雕刻似乎要麼被故意毀損，要麼被時間磨蝕。
The red root growing out of one of the graves has a strange and evil appearance.	從一個墳墓中長出的紅色根莖有著奇異而邪惡的外觀。
Everything here is already dead.	這裡的一切都已死亡。
You don't get ghosts.  Ghosts get YOU!	你不是在遇見鬼怪，鬼怪在遇見你！
You recall from somewhere that the most likely time to find ghosts is at night. 	你從某處想起，最有可能找到鬼怪的時間是在夜晚。
You see transparent, decaying, writhing, slimy, undead fragments of undulating ectoplasm!	你看到透明、腐爛、扭動、黏稠的不死幽靈在波動著！
I DO believe in spooks!  I DO believe in spooks!  I DO, I DO, I DO believe in spooks!!	我相信幽靈！我相信幽靈！我真的相信幽靈！！
Don't annoy the rock 'n roll ghosts, unless you want to twist and shout with them! 	不要激怒搖滾幽靈，除非你想和牠們扭動尖叫！
The ghost won't say boo to you.	這幽靈不會對你吱聲。
You can't seem to have a meaningful conversation with the ghosts.  Their thoughts are on another plane altogether.	你似乎無法和這些幽靈進行有意義的對話。牠們的思想完全在另一個世界。
But are they friendly spirits?  Just listen!  "Boo!"  Nope, guess not.	但牠們是善良的靈魂嗎？聽聽看！「嘩！」不，看來不是。
"Had I the ears to hear, or a mouth to speak, I'd do my best to make you shriek!"	「如果我有耳朵來聽，或有嘴來說，我會盡力讓你尖叫！」
Casper he's not.	牠不是卡斯帕。
"Boo hoo, I'm so unhappy here," says the ghost with a grave demeanor.	「嘸嘸，我在這裡太不開心了，」幽靈嚴肅地說。
Climbing this wall is too difficult for your current skill level, but keep practicing.  	攀爬這面牆對你現在的技能等級來說太困難了，但要繼續練習。
This must be the town graveyard.  What a run-down place!	這一定是鎮上的墓地。多麼破敗的地方！
You wrench the mandrake plant free from the tombstone on which it has grown. You hear a scream like that of a dying child as you yank the root from the ground.	你用力從墓碑上掰下曼德拉草。當你從地面拉起根莖時，你聽到像瀕死的孩子一樣的尖叫。
It appears that the spirits frolic here during the dark hours.	看起來靈魂在黑暗時刻在這裡嬉戲。
You wrench the mandrake plant free from the tombstone on which it has grown. Somehow you thought this would be a lot harder.  You wonder if you did this right.	你用力從墓碑上掰下曼德拉草。不知怎地，你以為這會困難得多。你想知道你是否做對了。
The root shrivels and twists in your hands until nothing is left. Astonished, you look at your empty hands. 	根莖在你手中枯縮扭曲，直到什麼都沒有了。驚訝地，你看著你的空手。
It's certainly creepy here even during the daylight hours.	即使在白天，這裡也確實令人毛骨悚然。
Your magical abilities are useless against the undead.  	你的魔法能力對不死生物無用。
Practicing your knife throwing here could be a grave mistake.	在這裡練習刀投可能會是一個嚴重的錯誤。
Your magical abilities are useless against the undead. 	你的魔法能力對不死生物無用。
You sense a spiritual coldness.	你感受到一股精神上的寒冷。
What a surprise -- there's magic all around here!  (After all, SOMETHING is making those spirits fly around, and it isn't the wind.)  	多麼驚人——這裡到處都是魔法！（畢竟，有什麼東西在讓那些靈魂飛來飛去，而且不是風。）
The valley floor is covered by fine, moist soil with few large rocks.	山谷地面被細膩、潮濕的土壤覆蓋，大岩石很少。
I wouldn't if I were you -- what if you actually managed to grab a ghost or fetch a fetch?  You'd feel foolish (if not downright ghoulish). 	如果我是你就不會——如果你真的抓到一個幽靈或施展取物術的取物術呢？你會感到愚蠢（如果不是徹底令人厭惡的話）。
Nothing grows in the dirt of the old graveyard.  Some of the graves appear to have been disturbed.	古老的墓地裡沒有任何東西生長。有些墳墓似乎被擾動過。
The graves seemed to be placed haphazardly in the tiny graveyard.  All appear to be old and poorly maintained.	這些墳墓似乎在這個小墓地中隨意放置。所有的都看起來又舊又維護不良。
The only things that can be opened here are graves, and you don't want to	這裡唯一能打開的是墳墓，而你不想…
